product_name,function,price,rating,review_counts
Summer Fridays,Lip Butter Balm,45.0,86,77
Emma Lewisham,Supernatural Vitale Face Elixir,158.0,91,118
MECCA COSMETICA,To Save Face SPF50+ Superscreen,51.0,94,2324
MECCA COSMETICA,To Save Face SPF50+ Superscreen,51.0,94,2324
Tatcha,The Dewy Skin Cream,127.0,86,204
Kiehl's,Ultra Facial Cream,121.0,97,2599
Emma Lewisham,Supernatural Face Crème Riche,158.0,95,360
Emma Lewisham,Skin Reset Serum,152.0,85,160
Glow Recipe,Watermelon Glow Niacinamide Dew Drops™,65.0,95,1722
Glow Recipe,Watermelon Glow PHA+BHA Pore-Tight Toner,65.0,96,2730
MECCA COSMETICA,Hydrating Moisturiser,60.0,86,534
Glow Recipe,Watermelon Glow PHA+BHA Pore-Tight Toner,65.0,96,2730
Drunk Elephant,Lala Retro™ Whipped Cream,112.0,90,2140
Frank Body,Glycolic Body Scrub,30.0,96,42
MECCA MAX,SPOT DOTS Blemish Busting Patches,29.0,90,571
Dr. Jart+,Cicapair Tiger Grass Colour Correcting Treatment,97.0,45,4
Glow Recipe,Watermelon Glow Niacinamide Dew Drops™,65.0,95,1722
Go-To,Face Hero,49.0,97,5131
Sol de Janeiro,Brazilian Kiss Cupuaçu Lip Butter,33.0,96,4724
MECCA MAX,CHILL OUT Brightening Eye Cream,25.0,92,257
Dr. Dennis Gross,Alpha Beta® AHA/BHA Daily Cleansing Gel,112.0,93,490
Glow Recipe,Watermelon Glow Pink Juice Moisturizer,73.0,94,2178
MECCA MAX,THIRST IMPRESSION Priming Hydrating Moisturiser,27.0,89,216
MECCA MAX,THIRST IMPRESSION Priming Hydrating Moisturiser,27.0,89,216
Emma Lewisham,Illuminating Oil Cleanser,79.0,92,72
Drunk Elephant,D-Bronzi™ Anti-Pollution Sunshine Drops,67.0,92,1090
MECCA COSMETICA,To Save Face SPF50+ Brightening Sun Serum,55.0,86,757
Tatcha,The Rice Wash,65.0,87,191
Go-To,Very Amazing Retinal,97.0,94,6
Naked Sundays,SPF50+ Collagen Glow 100% Mineral Perfecting Priming Lotion,53.0,94,597
MECCA COSMETICA,Bright Eyed Eye Mask,40.0,93,558
MECCA MAX,Off Duty BB Cream With SPF 15,24.0,88,408
Summer Fridays,Dream Lip Oil,49.0,73,55
Glow Recipe,Watermelon Glow Niacinamide Tinted Hue Drops™,65.0,90,143
Polite Society,Polite Pout Glossy Lip Balm,39.0,100,3
Charlotte Tilbury,Charlotte's Magic Cream™,461.0,77,157
Glow Recipe,Fruit Babies Bestsellers Kit,71.0,93,87
Drunk Elephant,Protini™ Polypeptide Cream,183.0,60,19
kit:,Good Night Balm,53.0,93,168
Go-To,Very Useful Face Cream,87.0,94,2033
MECCA MAX,WATERCOOLER Calming Hydration Serum,29.0,93,680
MECCA COSMETICA,Everyday Face Oil,51.0,91,523
Emma Lewisham,The Emma Lewisham Essentials,150.0,88,97
Drunk Elephant,B-Hydra™ Intensive Hydration Serum,97.0,91,1255
MECCA COSMETICA,Bright Eyed Eye Mask,9.0,93,558
Sunday Riley,A+ High-Dose Retinoid Serum,228.0,93,152
16Brand,Garden Toks Mask Pack - Hibiscus Tea,2.0,93,308
Glow Recipe,Plum Plump Hyaluronic Cream,75.0,95,802
