product_name,function,price,rating,review_counts
Fenty Skin,Hydra Vizor Huez SPF 30 Refill,60.0,74,10
Laneige,Lip Glowy Balm,32.0,88,4630
Laneige,Lip Sleeping Mask,34.0,88,14904
The Ordinary,Glycolic Acid 7% Toning Solution,27.0,88,3647
The Inkey List,Oat Cleansing Balm,25.0,74,698
The Ordinary,Niacinamide 10% + Zinc 1%,23.0,86,6488
The Ordinary,Hyaluronic Acid 2% + B5,35.0,86,5251
Fenty Skin,Fat Water Pore-Refining Toner Serum,52.0,86,819
Caudalie,Vinoperfect Brightening Dark Spot Serum,126.0,96,21
The Inkey List,Omega Water Cream,23.0,86,1464
The Ordinary,Natural Moisturizing Factors + HA,28.0,84,2115
Eco Tan,Glory Oil,140.0,98,21
The Inkey List,Hyaluronic Acid Face Serum,19.0,88,2330
The Inkey List,Salicylic Acid Cleanser,25.0,88,1563
The Inkey List,Caffeine Under-Eye Cream,21.0,80,2615
Eco Tan,Super Citrus Cleanser,38.0,100,6
Ultra Violette,Supreme Screen Hydrating Facial Skinscreen SPF 50+,64.0,94,153
Fenty Skin,Perfect Puck'R Hydrating Lip Care Duo (Limited Edition),67.0,100,2
The Ordinary,Granactive Retinoid 2% Emulsion,22.0,88,771
Fenty Skin,Total Cleans'R Remove-It-All Cleanser,47.0,86,762
The Ordinary,Retinal 0.2% Emulsion,30.0,86,580
Laneige,Water Sleeping Mask,55.0,96,135
Fenty Skin,Cherry Treat Conditioning And Strengthening Lip Oil,41.0,88,1023
The Ordinary,Squalane Cleanser,42.0,80,786
Clinique,Moisture Surge 100H Auto-Replenishing Hydrator Moisturiser,73.0,88,1367
Youth to the People,Superfood Cleanser,76.0,84,5772
The Ordinary,Soothing & Barrier Support Serum,36.0,84,1355
Laneige,Cream Skin Cerapeptide™ Toner & Moisturizer,57.0,88,478
The Ordinary,The Daily Set,44.0,90,47
Airyday,Clear As Day Fragrance Free Dreamscreen SPF 50+,63.0,0,0
The Ordinary,Multi-Peptide Lash And Brow Serum,33.0,78,3413
First Aid Beauty,Ultra Repair Cream,86.0,90,9580
tarte,Maracuja Juicy Lip Plump,46.0,82,751
Ultra Violette,Fave Fluid™ SPF 50+ Ultralight Skinscreen™,64.0,94,54
Fenty Skin,Instant Reset Overnight Recovery Gel-Cream With Niacinamide And Kalahari Melon Oil Refill,65.0,88,51
Ultra Violette,Queen Screen™  Super Glow Drops Bronzing SPF 50,50.0,100,1
Ultra Violette,Extreme Screen Hydrating Body & Hand Skinscreen SPF 50+,43.0,92,45
Fenty Skin,Fat Water Hydrating Milky Toner Essence,52.0,90,446
FRESH,Rose Deep Hydration Face Cream Moisturizer,81.0,92,2523
Ultra Violette,Preen Screen™ SPF 50 Reapplication Mist,52.0,82,129
Ole Henriksen,Banana Bright+ Vitamin CC Stick,54.0,82,632
Sephora Collection,Colorful Vitamin Face Mask,7.2,88,244
The Inkey List,Vitamin C Serum,25.0,64,619
Laneige,Water Bank Blue Hyaluronic Intensive Moisturizer,70.0,80,9
Caudalie,Grape Water,45.0,88,2247
The Inkey List,Bio-Active Ceramide Repairing And Plumping Moisturizer,39.0,90,294
Airyday,Pretty In Zinc Dreamscreen SPF 50+,63.0,86,4
Ole Henriksen,Best + Brightest Mini Skincare Starter Set,81.0,94,3
Skinfix,Barrier+ Triple Lipid-Peptide Cream,100.0,86,2460
Laneige,Water Bank Blue Hyaluronic Cream Moisturizer Refill,59.0,100,2
Ole Henriksen,Strength Trainer Peptide Boost Moisturizer,81.0,90,1230
Ole Henriksen,Banana Bright+ Eye Crème,73.0,82,1845
Sephora Collection,Fiber Face Masks,12.0,92,798
Laneige,Water Bank Blue Hyaluronic Moisturizer Cream Refillable,70.0,92,487
Eco Tan,Face Tan Water,43.0,86,14
Loving Tan,Deluxe Bronzing Mousse,40.0,86,3
Innisfree,Green Tea Seed Hyaluronic Cream,50.0,92,348
Sephora Collection,Triple Action Cleansing Micellar Water,36.0,88,722
Fenty Skin,Hydra Vizor Mineral SPF 15 Moisturizer Refill,56.0,80,10
The Inkey List,Peptide Moisturizer,33.0,86,121
Fenty Skin,Plush Puddin’ Lip Mask Kalahari Melon,34.0,86,72
Loving Tan,Deluxe Gradual Tan,34.0,96,4
Laneige,Water Bank Blue Hyaluronic Hydration Set,78.0,96,57
Ultra Violette,Lean Screen Mineral Mattifying SPF 50+,64.0,86,67
Lanolips,12 Hour Overnight Lip Mask,23.0,100,2
Lanolips,Fruity Jellybalm,17.5,90,33
Fenty Skin,Cookies N Clean Whipped Clay Pore Detox Face Mask With Salicylic Acid And Charcoal,59.0,92,541
Sephora Collection,Super Glow Serum,42.0,86,347
IT Cosmetics,Your Skin Smoothing Essentials 2-Piece Anti-Aging Skincare Set (Holiday Limited Edition),83.0,100,3
Peace Out Skincare,Early Stage Acne Dot,37.0,0,0
Ole Henriksen,Lemonade Smoothing Scrub,58.0,90,1127
The Ordinary,Salicylic Acid 2% Masque,28.0,86,425
Laneige,Icons To Go Set Mini,46.0,94,70
The Ordinary,Lactic Acid 10% + HA,19.0,90,1069
Youth to the People,Superberry Hydrate + Glow Dream Mask,35.0,88,2267
Fenty Skin,Cookies N Clean Whipped Clay Intensive Pore + Blackhead Face Scrub,54.0,92,256
The Inkey List,Bakuchiol Moisturizer,29.0,82,525
The Ordinary,Matrixyl 10% + Ha,25.0,86,216
The Ordinary,Multi-Peptide Eye Serum,53.0,82,30
Laneige,Cream Skin Cerapeptide Refiner Mist Pump,16.0,92,23
First Aid Beauty,Face Cleanser,66.0,88,5133
Youth to the People,Adaptogen Deep Moisture Cream,41.0,88,1899
Evereden,Kids Multi-Vitamin Face Wash Cool Peach,40.0,100,2
Fenty Skin,Melon Treat Hydrating Lip Oil,41.0,92,52
Sephora Collection,Original Eye Masks,10.0,88,1214
The Ordinary,Multi-Peptide + HA Serum,68.0,82,122
NUXE,Huile Prodigieuse® Multi Purpose Dry Oil,74.0,96,13
IT Cosmetics,Bye Bye Dark Spots™ Concealer + Serum,60.0,90,614
Laneige,Water Bank Blue Hyaluronic Serum,72.0,90,222
Estée Lauder,Advanced Night Repair Synchronized Multi-Recovery Complex Serum,215.0,82,2711
Caudalie,Vinopure Skin Perfecting Mattifying Moisturizer,65.0,80,150
Peace Out Skincare,Pores,37.0,90,4
Fenty Skin,Cherry Dub Superfine Face Scrub,48.0,86,326
FRESH,Soy Face Cleanser,28.0,88,10166
Airyday,Lip Me Vanilla Dreamscreen SPF 50+,26.0,68,9
Fenty Skin,Lux Ultra-Hydrating Lip Balm,28.0,74,219
Laneige,Cream Skin Cerapeptide™ Toner & Moisturizer Refill,47.0,88,58
IT Cosmetics,Your Bye Bye Pores Besties Duo (Holiday Limited Edition),105.0,90,4
Laneige,Dream Team Trio Mini (Limited Edition),42.0,96,73
The Inkey List,Breakout 101 Set (Limited Edition),54.0,90,66
Caudalie,Vinopure Purifying Gel Cleanser,46.0,90,1020
Esmi Skin Minerals,Hyaluronic Hydrating Serum,81.0,82,30
Makeup By Mario,MoistureGlow™ Plumping Lip Serum,49.0,74,739
Laneige,Radian-C Cream,56.0,88,525
Sulwhasoo,Essential Comfort Firming Cream,135.0,94,21
IT Cosmetics,Your Confidence Boosting Essentials 4-Piece Anti-Aging Skincare Set (Holiday Limited Edition),148.0,92,14
The Ordinary,100% Org Cold Pressed Rose Hip Seed Oil,23.0,88,1327
Pixi,BeautifEYE Brightening Eye Patches,49.0,76,77
Fenty Skin,Instant Reset Overnight Recovery Gel-Cream With Niacinamide And Kalahari Melon Oil,73.0,86,314
Pixi,Hydrating Milky Mist,31.0,92,87
BANGN BODY,Firming Lotion,56.0,92,7
Loving Tan,Deluxe Applicator Mitt,17.0,100,4
Eco Tan,Organic & Natural Serum of Clear,65.0,100,1
Sulwhasoo,Overnight Vitalizing Sleeping Mask,88.0,92,21
The Ordinary,Glucoside Foaming Cleanser,26.0,88,479
Ole Henriksen,Banana Bright+ Instant Glow Moisturizer,78.0,100,2
Ole Henriksen,Truth Juice™ Daily Cleanser,52.0,88,515
FRESH,Kombucha Cleansing Treatment,81.0,88,571
First Aid Beauty,Ingrown Hair Pads,73.0,90,264
Ole Henriksen,Banana Bright Vitamin C Serum,115.0,78,928
